CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	9338	32393	22.38	41731
2	9061	28353	24.22	37414
3	8644	27967	23.61	36611
4	8444	28481	22.87	36925
5	8390	27521	23.36	35911
6	8141	27755	22.68	35896
7	8391	27232	23.56	35623
8	8314	27336	23.32	35650
9	8287	27706	23.02	35993
10	8175	27178	23.12	35353
11	8295	28070	22.81	36365
12	8255	27805	22.89	36060
13	8221	27972	22.71	36193
14	8195	28139	22.55	36334
15	8376	28014	23.02	36390
16	8328	28050	22.89	36378
17	8345	27951	22.99	36296
18	8206	27962	22.69	36168
19	8529	28167	23.24	36696
20	8432	28018	23.13	36450
21	8359	28462	22.70	36821
22	8225	27921	22.75	36146
23	8285	27834	22.94	36119
24	8141	27983	22.54	36124
25	8486	28356	23.03	36842
26	8534	28901	22.80	37435
27	8526	28308	23.15	36834
28	8338	28380	22.71	36718
29	8151	28112	22.48	36263
30	8288	28040	22.81	36328
31	8188	27898	22.69	36086
32	8238	27576	23.00	35814
33	8226	28172	22.60	36398
34	8263	28131	22.70	36394
35	8230	27880	22.79	36110
36	8203	27774	22.80	35977
37	8603	28420	23.24	37023
38	8433	28296	22.96	36729
39	8406	28550	22.75	36956
40	8361	27593	23.25	35954
41	8400	28210	22.94	36610
42	8456	28104	23.13	36560
43	8305	28354	22.65	36659
44	8314	27644	23.12	35958
45	8317	28215	22.77	36532
46	8454	28059	23.15	36513
47	8573	28586	23.07	37159
48	8289	28211	22.71	36500
49	8518	28565	22.97	37083
50	8305	28211	22.74	36516
51	8499	28551	22.94	37050
52	8393	28586	22.70	36979
53	8225	27774	22.85	35999
54	8237	27891	22.80	36128
55	8389	27617	23.30	36006
56	8571	28185	23.32	36756
57	8353	28463	22.69	36816
58	8562	28429	23.15	36991
59	8551	28326	23.19	36877
60	8341	28021	22.94	36362
61	8605	28180	23.39	36785
62	8316	27728	23.07	36044
63	8513	28019	23.30	36532
64	8500	28042	23.26	36542
65	8483	27421	23.63	35904
66	8199	27867	22.73	36066
67	8576	28104	23.38	36680
68	8484	28060	23.22	36544
69	8395	28169	22.96	36564
70	8618	28441	23.25	37059
71	8443	28296	22.98	36739
72	8536	27981	23.38	36517
73	8240	28213	22.60	36453
74	8518	28020	23.31	36538
75	8456	27675	23.40	36131
76	8332	28381	22.69	36713
77	8481	28041	23.22	36522
78	8578	28276	23.28	36854
79	8717	27933	23.78	36650
80	8558	28129	23.33	36687
81	8526	28196	23.22	36722
82	8389	27966	23.08	36355
83	8376	28104	22.96	36480
84	8523	28020	23.32	36543
85	8418	28137	23.03	36555
86	8477	28304	23.05	36781
87	8609	28431	23.24	37040
88	8684	28023	23.66	36707
89	8374	27871	23.10	36245
90	8516	28350	23.10	36866
91	8411	28078	23.05	36489
92	8571	27905	23.50	36476
93	8483	28146	23.16	36629
94	8483	27683	23.46	36166
95	8462	27941	23.25	36403
96	8496	27926	23.33	36422
97	8552	28204	23.27	36756
98	8531	28011	23.35	36542
99	8528	27822	23.46	36350
100	8445	27818	23.29	36263
101	8470	28320	23.02	36790
102	8593	28015	23.47	36608
103	8552	28302	23.21	36854
104	8527	28197	23.22	36724
105	8578	28051	23.42	36629
106	8214	27876	22.76	36090
107	8534	28021	23.35	36555
108	8650	28255	23.44	36905
109	8502	27950	23.32	36452
110	8615	28492	23.22	37107
111	8559	28542	23.07	37101
